Jan-19,Feb-19,Mar-19,Apr-19,May-19,Sep-19,Oct-19
04b58ddb80178998c0318ace2b9f06519206511e95881acf63e41c2eff24f7ff,9c11a203465898de90ff6d4baa90a6cbcef4124e08d38aa526b8376fe0d61d8a,05210dc1bf798e624901621c112a02a903cf9ada91d27739587468867322cb6b,81074aebf514cd009b4a5f11fead134d8b00bc3fa1174810e0832712350fd268,7bafff94116e800445de614e67aae74ac83c45a61b7fef4aabe4863ba0d66f91,e12b9616768a97b6d3b368b9c9a35a269495fc3a5f2272ac6391b55df927fd95,640086c532c00aade40f11146f735fd3e969fe1565e5890800fe4b7551100523
3388ba07c6f77b926395f7638848aae558ea5804e09c82e441e03530e7c69d63,e695b6839e483104adac05d342ba135fa3a900635ac17e7bf4d663e8808bee83,7daa9c558953925ae59529d4f71b90cfe8d36f267566e262ebe38bbb7a5bdb14,f4be92f5fd531238aa5267e25804ba29b55a17262f9eeffe210c1b953861eb1a,49c47926fca894b6de21bd9fc823ea037c33b0caa32ed56a0781505be40e3eaa,e1dc527ddd01751685ffd31b0ee88702bf085fe0e8239581a47a8ac5d33bd3e7,e6630adfc5882be333236fd4da6b8fb8c86866b4768b7914fa9102a3de3bc3b0
54efb1013f89d06196e354d43c14935b0647c2058aa6cf6f62050210e9f83616,f5ca5a6cebd4cf6357e10a8641d8808ae7696ebc3c82c7d723e67efb90372999,36cb60796fe254e786832bb20f8b87046d5c40f838b9512e632f6da84a5a3bc6,5fa78da23a8e6295dde375c04b387d3013f840ec1bf02c507843fc28e8c3195a,5eab5cb4fb133b10a3499097e2cfa6c7d7077323040e45ed6e9132aaadd713d7,34f6d590ab5cf40a3b69cd72e2bb79d48853b212ce0077538994d6c74ae68296,cf36aa2fee5351891df1ad0f3a9449c19da65dddfb65a4f6c50f4e9218d84a16
7e5ea13fa9483567ccfc964f2b81ceef37a6e25bc72145595d1b210ffff7592a,00273100b8ebf6306f1568a6189aa086a3372134b15e8fd55f0edfe3c6ac5ce5,cf54aa31a0aa3112e9faa9e6b5db10b0afe5c3d955872b668ee76bb913e8b476,b38a815566f4f8646b07e2bd4973ca1a0646c638e8fc6f6196fc326fa963edfa,6214a5a90f19c3293325d5003c547ef4e6c35c44f9d9fa06101a7ce930eb896e,357896007f188c177c3af09f6e56baab8246879835b0bf75f1752fdf83a4e351,e83151bfdcbb6776a7e1234fd842fdb63b023a8c10cbafa8d5ee2ae1f882f538
cd3fa296d4edba903fc4887a80eb42ab3a7165c8967b46db6c1aa754d339a2b7,b557c7e1d652e663ee95c73e58c7101fedcbed6cf64b933465ba93fe9aad1d4e,2745ebc10e0a8a0fdf3393fe7df3ca3c1e9edbbe9f2bc92d73e2789639d073b3,c653544df43b1bd3e7e0a9789fbbb1f86553954df14e9478e73f5f509c79498d,845ab4a4f0d5de4878c625312b025da5c44631b8e3473a7720b0bcc84701bb08,bb287e503334a9b8c91a1a1a65d5be8d63c9bdac11dab95ffa788cf643ef071a,289c04314df3679f04bf1817fbf1589fb19dbd481f8c20daac8861068a7c5a32
eee0e0e3be71c4ad4e65e7f8a2f8a17dec0e7c68cd299297259b3fbb9f064b34,1234e5b62840c3e14957f24977b8ea092c32803a67e24b5033c5ee3941ad3e5e,4f76cf4e36ca9219901c98b94ba2823a5b2f0e18f64f90dd735d7683003c7f0a,e2d0240ab681f28ed024feae0010085e8a64640dde9bfaa5d07426c8f2d279e9,8673e5b726cfb6182ad1be64307bd560db316c5d277db77c73bb4c50854ccb2a,f06d1abada97c93d7f65d8daddf46fdf35fedc33d27a3bd55fdc9a4687aed238,63cb6cd04a691f5af02e6a045cdf357e93ee8be5002100b90088b5dd65b24b70
7543419ad2c47a6fc8765597d43ef56be77598b9073f8a7d1007f43dbdcf5cdc,5d7cbd551a19a90037178f812ea91aaa2ab12a0f11206c95370ea0f3177dddbf,ef8b13f956b05117ec9c9d334da3abe4110ea70a6ec3433f4dab8a9658b1572b,f09987dbccbcb6d5046e0c9cabdb44574cecfee277fd38cfbc2e33e355b04fa6,21145645cac74e0b590813eafd257a2c4af6c6be0bc86d873ad0e6c005c0911d,9fe890f4a1393ef301e24b02ab3c173f230ad7a982808ce6daf130c861422208,a1d4243b1e2380d5fc9d26ea036bd00c39f09cdcdfc1a3d2b699b5fc15cf29a0
b9e670411c61bf5c2efea152272482c8adeb648fc2fea7518b31ffcc1eb10006,7ec0f6b79855866ed59c225807a103f10759c867ee14eefb33bc720684813a75,c1c1a87107853f2818de6aac5f5afe13db384400cc53618e1b6317c31f83a34e,03db2b41ffd92d49ab707fe10425202440d4444618763cbd14ebb0ddaf877516,79d80412f4d09dc31d5f99ad663931b38a477bb0a6da8685376163dea21d947c,e9053bf42b30a14c12d6bbf372a90fe83fea082074ac82bcd675c85ad9cc7a08,b5617d46830e9a3a362c97b9c6140c15c04b1dd64136ac1abf1dea3e65d83ccf
e1fa1c7d8bb15cbd30ec50bc055630dc2a227a1cdd26c4a3c58657b8db23480f,8c26a9a3a1f03e9f014233ea10ed191aa8605bf4824a1cfa9bd06c52ab4ae7ba,5414862a9e2a876becb315b91373404c37dc311ee5040d163372cce37eea8de6,4d8972a8e9daf54dfb3fdb47c1d40594b085c83cb77a593d56fb90bdbfc9e933,684c52e52cd712231a6e8abc3800253ab6cd9c43225b65f859a3f6a59b5ddbd5,dd97442f6ab0ced920894b956096ec3100a44dff6ea98a64300831d39eb1943a,d8614f65c65df8ca408d493fa9ef65894a84d9a49ddcb08be7b0798b670d367d
3ba8bd7abed2707c605c0443e718cc2dc55728d079ddb73ba4cf88cf288a84b2,03003dcf853a06cc7169fbc4d3cdbacca0a9f8070696949a9ef4b525e65decef,275e7e60d0654abab9166fac71553edd726528608f044713d32a53ad69235cd5,820418ce02a84426b15871b23da39ba47692320db4a423adf28ec279a3677e2e,f7991d54db31a411d21ef1b6ef87490aa3828576eb59fbdefa57a3861d1c728c,3602af40c9dc9b2579ae693f3751b5b43c49be74f9a1c9e6b8efac1cb75f044d,3f1f8fd989386c1beddf6223113b18d788f4862325bfae0828080e29e067599b
824fa5bbf6c395ec85c8f0fec131f6f2b3b5d84a108de3ed71fe073450847453,1ab4a55612d9a194c84dfb80532ce3c81b2c0daca55dd4df428b41ff10730045,7ca1bbaa038c0944f5786d4675dddf7379f11c9372fbe29185c9cdc2c91a5d3f,8216a888738685e8762108552450bf27f1598257ac017a8cdf5d64bcee549f56,155099328610d7a4dc8154ca04b4a5b468f238fcdf45c92e109ff0614ad4d990,ca61a64802de74746bd3466367c619ef7c8a61eb7973e7ac97b1e33ad7a3491e,faabccb1ffe41bc64521776a9ce31eb61725beb8efaad424de61bc6aa432d09c
a880e613bbdbb4ac3bb67b7d9366222a56556663795b2c7711609e2e7afa13db,8c9426e6d5a137616d167ba33cac052a46b0ac05a27efd7a5967d503f7b76446,6e95e693716ea9821320160929bc15a8b295b14448e1fd168d8f86556dd56019,8cf33605a0e7696bb3b248aab286c0a56cfc3cd4bcaa8e0690f97ec9edb865b4,7a8dc7eb9de5085cce063231238529a8fe07cf3d696972aa34aff766050ff612,16fc49eb29963ddd1f26ddc5fe3641d442203e0d02bc94b8aac4e89f8d0b20be,5e5a2915960537a21e525a0b4f8081b7d69c641e17a0c5aa0d21d06f02c5eb0a
cac8574acecf7df7fad93aa8c0c519b342ec7a8f52dc82f09707d39d7d603b36,a47143ff4c9ac8cc600747f244ae6746bc2ef2589188a1c3948f358fe5b51ef9,745df604bb5dc64602399b203ed4486babe0121ccb9263c8b6a7663fa36f9843,d87b5f96534ccb7217afffd0f01646260b5ed4a887f2202eeaf59b0d86196e29,fab553ad3e67792c49dd743538e8eb15fb889b5ea3163ea441590a9bd9feb6b2,2471997442d926052454ad1b7887a0b0a540bee30c3878abe1dbb7c1aa89e309,6cadae1df63f52f3abcb5a95d3d4fe31b90f238da742e61e8edc716373a52375
45410db407eb272835c9a503adfa685171ef895e4545160462abffe58f706634,ebea07116fe168c76675b0343748b7c582e6300116dc94eaa742f1af4781445a,7422d979d19480b1f1af89e1202f3b255dff6dba87f9507cdc3f4c0168547247,37111831c904b625fc109f15bf58b9b784d331f1df37f0ca3a358f99e7397bcc,28c76cdded78a0edb400260a91fe5a3ec14918cf16b5ecda78bfcbefc18e05db,27f8ed3716e5c94a436a242d29cdb3e2a80b1ac11cab7fde232020824ab660b7,c87b8f0e9cb9ed67e5e558fd9da0574ae16b37ec669dd42fbb741915e5e4ba91
a73c52793aebb5741f3456b8c575eb3ee41953257cfdd0930b86c422b63b4ff1,945f1876255fb340d5795207624ead7ea141e32cdcdaf9a47c0d8baeedd870c1,0c29266763f9f890268a872b70316d5c99f8d9395e907d758c91b16a3823c304,0833a662ada3c6fdaab16e13b2cf066595336ee2595c03bcd7db33e4cdb6d522,9412268f1f2c0eb9a06cc682d774e05495a3b4e468749c77e157a5a354c2c8d8,20f0ba7f0ca8d5b6e1aa5f6484ff6c1a9dbb99f18abc0e9456c0d26b2d0caabf,cefa16b1812a1d57c887d7febe085519cdefa64233b4df9c7c5b4e8bac7d6477
acd45e8699166ff2859627f5c31cc865c4e048e7dca7d4142be445af985e0f6b,2e76712669301aee0c9ddafde3390f2da76fa277f2c9d4c48fee5e9013f5540f,30317c1d770e382af03ff8796c8eaa9be805669f985caa93063bd2ec4b60e22d,18178a4f05a6ef92f887aa09627b0b5ad611a6649b4d69155c32b5b233299013,c080b72087bcd69c50f677f76f82fcc2389aacaea0dc649ef1bcc8156cb419dc,8deb508a95178d159b43da93160ff6d64c5ad468f1f91e222021eba9292954a1,272ac7d9c7bdd245a69c7ef795ec71193907342bbec376d99aac58d998bf7446
14733d746b85077ba1ded0ac619e86ece3c7dfdfbf545c8cd49f4051ed0c34eb,36b14dc002319388db28522d1f0ab45815af26c4cb7cbb29236a418e271817b5,9037ad591488483fdb55ce7bb41942fa4f36d1373686d98e4a2ae532254ba135,5b527c9e4b373ce12f97f1247adf147a950f0bde0545ada390d59a30cb285073,6392934e41ae2f40f51d103a91d43ad0b29695726c9b019eacccc15a918a6ac2,0c5fc7cdd0bb3e771a04fbea044f30a10a4ba7faeccf968a90a0df59cc296bb3,c2de67b34a3af0625341e5bce27909e0e2d5d28763ecedc7571755d00cf50947
0cb8b7b24e561cd79cc87bfdb188e3dcdc16999983823c326544db2bcc4c2378,3d7f7a9dcb1a8024ff18cf32a2455beb45c9a7f69ed70e499e7490360c10265f,96328c4d858957fc94fe18166187cd429bc185e55bf58a82137c84d8681c45a4,8578766d78dc2300179ad6a49001cb9278cd00b1eb25abf1192f5d91e71d133d,7762b0bdaa11ff32c89856c16ab3dfcdd37eb4491603ad05714e8f5ec7eabbfa,dc495e962b26b2a570b7079bfdec5a7f279b34e67b5b93e1db67c0febb18cd79,28ef348c64d9b822a9056b6403d3c7d9e348a8e272f45dbed76f4b799041410e
9a0a11ff0bcb1310aea584b231fd2d25687e7b2ca1a490b24c8ac4f5324be12e,3e55318acacb37c7f438dc1b90b7f7a3ce055840a281d7d3b0ec9965b023addb,3fb1e14af9a89d88a19906e6eca416a6291cdeb86a6fc9049fabea36d54f3509,b00f8608a0af2c4ab5fef0074167f29d8229fa877e491a45d6da1f48dde32f7b,dafd1297acef1713ea7e471e33bdd0ea5d5c764b2e0569385d82e5b34f91d5fe,92e7008a245ee8368d3f1874b37435c7fa3a785347c8eff53c122c1f122a195c,8b975dce544d439187382cb2f859b1dce832d3f7779538377caf622ad9299e3d
4a936f552009683b4dcf10284dc01c1a2c576a47c165c07c3eefdd747d891ee4,6c04488ad135b02d868fa1758b466a46e6f815fe4fd259230e34bfd71acda5f1,66a18db21f72197aae46dd69009ec87daecca0a6bf164c5a5aedb137989bb7ab,c196e639d72a2790b1552571cc84c606cd3fde82feb9db679afefa8d38898fe1,37c9b01d558ca3ae785bad89acb7ce523964ac0076da0b7bf447d21cd4affbc7,6076e26a123aaff20c0529ab13b2c5f11259f481e43d62659b33517060bb63c5,f0ac854808ef5855438fc02b394222d79acf637b5413a7b13c0af185c8d6805a
9bc66f272e467402e0d78b36945c504080d08fc2e141c0b3585fab01cab3017c,72c3ad1af7cc8eafbccf21cbc0570a9d19bb607805847111b6d87339845c0a73,71034d5df72cd7115343b9b7cfc365eeea2b1592b14dd067ac86a1c8b294a673,2d84259bfdce75522fadba53461db4ada6d2ff955c78b183766f85a3c57bdf6a,cec5c446695643355f24d074e42f004566b33662dab7713103d60c09a7548b1b,7080e1b236a19ed46ea28754916c43a7e8b68727c33cbf81b96077374f4dc205,c36ca2447fc472f35efe3d39b1b609c032fb72621f3bc03b6efe79af2e153763
600285418c76a3b461a43e84cfde59054dae21f119cddd37cdca85a069b6e320,95590ad3034c71e1da46aaff970990a0e349cbdd3e07464f37bd6b28fb2db97e,040e88e2695080435c9155f956620cdd306fa7e27c2c3ca3523f75e22fa7060f,f7e5d344cc86f1d1026e9a7d3b0c30cff5a2cf53bc45546df6b2859b5e8652ec,968e4ec02fb4cf8ad16e44c32c7ee9699b22ad957506093f398301958dd8c04c,33a59bdaf7690c05211e0c0722cd457a8ce6887a6463ab47004fed8d0921420c,ab47a7deb307f5d70096f44b7698c17c814d0cc9b37dafebefd1759b64ced6b8
73a7d924eb939da844d1bbf298748c3feda810d2cb6a51c002f526b472321927,c4dc7ef4be63621102d1606ed677d9b56fc1b616a029d1ce9965bf4ba475fb84,f9c668acfd272f7559a02786f87a776e0207d2c2237bde1a60fdfe96876d9f9d,9d8c19d4e9665e8445f7ededc120dfa06d77ba7c668cbc5d7ec1d33ec7366826,571210656adbfe8cde574bb15f96232169cdfb487f4597ce1a4532c7a0258f46,b2ce58a359b7a16f39446a36b96cf62c48e3ca5734bbd7eac4adaf2b49f1f8c3,fd50554b37b4bbd917bcd4ca8d79fc5cde03c68176430512f68af16a6f5439da
