First Seen,SHA256,Domain/IP,Port,Backup DNS,File Name,Startup Name,Folder Name,Data Directory Name,Backup Startup Exe,Mutex,Build ID,Enable Client Installation/Startup,Client Persistence Module: Protect Luminosity's Client Binary,Silent Mode (Hide Luminosity Window on Client PC),Proactive Anti-Malware: Clean Malicious Files and Speed up Client PC,Power Saver: Prevent Sleep Mode and Turn off Monitor after 15 minutes of inactivity,Remove File after Execution (Melt),Anti-Virtual Machines/Debugging,Hide File and Directories,Backup Startup
2015-09-02,3334590e3c68b5c86b5f4d9dc3e6e2f234419dc2d43509c706529278d1873e42,dendy39.duckdns.org,22028,Disabled,repair.exe,Mechanic,N/A,N/A,N/A,acb7b9bf191ebf6fc9bf4612dc39a218849dbbb8,HOME,No,Yes,Yes,Yes,Yes,No,No,No,No
2015-09-02,333de5bc0a34ba6aaba8ef71535d82279b0d543087ac64c53a26eeddbc59ebce,dendy39.duckdns.org,22028,Disabled,repair.exe,Mechanic,N/A,N/A,N/A,acb7b9bf191ebf6fc9bf4612dc39a218849dbbb8,HOME,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-05-16,335371f19cd603f690610cbc954fd2f6c42b32fd0e9774d1ab4a29f78d4d0902,godslove.ddns.net,7189,Disabled,chromebrs.exe,chrombss,N/A,N/A,N/A,15e9abb2e818480bc62afceb1b7f438663f7f08f,5JESUSHELP16,No,Yes,Yes,Yes,Yes,No,No,No,No
2015-11-19,334b1a87bcb834335ce8d674295e8a72d8c6f0757eacf049a64d60aa4a2947bf,110.143.54.42,443,Disabled,client.exe,Client,N/A,N/A,N/A,2036d57103e606029f3271bb1690347adb884afb,Test,No,Yes,No,Yes,Yes,No,No,No,No
2016-05-22,336c1495195c7a4455d9e90a05412e39b49ce3a4c234ff46eedfd5102857837f,bonav.mooo.com,2626,Disabled,client.exe,Client Monitor,Client,Monitor,clientmonitor.exe,be5ea67185f34ad993576d0f3c291222989b272369ce08dc1d7afe52d361a24f,bona,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
2016-02-02,2f654bd07e3dbad440eab67438964ab1e3830db9927d58afcef874ff90a66dd0,ferum1778.no-ip.biz,7777,aurum13599.no-ip.biz,sysmon.exe,System Monitor,N/A,N/A,N/A,a2f1dba0be975a7e51b9d49e1828f5a9126ffab5,CSGO,No,Yes,Yes,Yes,Yes,No,No,No,No
2015-10-09,315debcc6160449a1425198f791ff8ed065446ef1bba984d69e4e9e2e4e19636,loneranger.ddns.net,2252,Disabled,sysmon.exe,Skype,N/A,N/A,N/A,13923e1fbc11ebc39943c8abf1aa66645dc93750,1dt6j5,No,Yes,Yes,Yes,Yes,No,No,No,No
2015-10-10,31619414fe6de66d800e87ab4563373b66ca72b87aa4320b380e8d54715d0fc0,paulgunnar.ddns.net,5050,Disabled,sysmon.exe,System Monitor,N/A,N/A,N/A,7433cdb324b04dd5e3c3db213381216c7c539baa,ROBOT,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-03-16,3163c572871784bc769f5d6269b7ae26ab2e308eadc3c09c780fd42ab2f586dc,rowenmcdaniel.ddns.net,1604,Disabled,RAVCpl64.exe,Sound Driver,N/A,N/A,N/A,00a5db3c9b299486290ebfa382f22f25db436af5,HOME,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-03-23,315662a0e2fd89ba2c99d484c3fda581062666ec5eebb2b3f5fb496d54bf974a,godwin231.zapto.org,4499,Disabled,helper.exe,Computer Helper,N/A,N/A,N/A,a54b575835e8349d7204b17e9fc13834fc707bc7,HOME,No,Yes,Yes,No,Yes,No,No,No,No
2016-01-25,3157e87fa47d0a5b4f84932bf68f6c32a42177760570a2419196e672071803cf,suffer4real.gethost.pw,335,85.195.203.37,Disabled,Disabled,N/A,N/A,N/A,7b8ef8a65a065061eb118094a7db4f70748ed4f1,PS3,No,No,Yes,No,Yes,No,No,No,No
2016-03-19,315b1143da6cbae247cd922647f1fad577c8339ce01f5ae2a8fe5b543c2c2c19,174.127.99.147,1995,Disabled,helper.exe,Computer Helper,N/A,N/A,N/A,974a3b20420da00201ea529dd05d8293bb74259e,chucks,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-06-01,317c8ffa37dd21331bb2606d760c9b5de8e7cfff5360a5b7202b43dd8fab5df6,sergey99.duckdns.org,7171,Disabled,client.exe,Spool System,Spoolsys,AdobePhotos,adobeuninstall.exe,ac347619e72301a4a03af39feb41c7994e448dfc71ed5b85fc22034427740678,RESTART,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2016-03-30,31925ef6f72f07ea962b886fe32bb9903661d6bc59f729e35701414b6ce9062e,lolgate1.duckdns.org,1337,Disabled,helper.exe,Computer Helper,N/A,N/A,N/A,5f514892a9a36ddc576bdb1512248e01bdd4985d,Deze,No,Yes,Yes,Yes,No,No,No,No,No
2016-02-10,11a97fb8ece9702b9b4cff4fdcb648e9f437acf491c8779b857afa2c4eafeff5,ferum1778.no-ip.biz,7777,aurum13599.no-ip.biz,sysmon.exe,System Monitor,N/A,N/A,N/A,a2f1dba0be975a7e51b9d49e1828f5a9126ffab5,07,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-02-18,11aae41d362eb43a88f1bcbd26059ef69badbe75cb88ecb235d2c4867219eaf1,black-flash.chickenkiller.com,6318,Disabled,helper.exe,Computer Helper,N/A,N/A,N/A,c13d948e6e88e273383d9f934441c2f4267f3770,HOME,No,Yes,Yes,No,Yes,No,No,No,No
2015-09-16,11cc40d6a1855e298592ea9cd7cbbd756ea44ad5907e8a9fb3d185948b43bfe9,yousuck.homepc.it,1337,Disabled,sysmon.exe,System Monitor,N/A,N/A,N/A,2d59ba57c7a364f6453cfac27038f89b3f0a6d44,new,No,Yes,Yes,Yes,Yes,No,No,No,No
2015-08-14,11f49c03f75c4e5ca98d4442d992638bf8ce2405bf1c09906135b71e2597b3c0,f9l.no-ip.info,7332,Disabled,client.exe,Client,N/A,N/A,N/A,7433cdb324b04dd5e3c3db213381216c7c539baa,second,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-01-27,2f97143399f1121f192a447cdc9faa943135144d24b557155ef8606b52063fd5,moonll.dyndns.biz,6653,yourllink.dyndns.biz,Disabled,Disabled,N/A,N/A,N/A,703abda838c13bb9432553d3f974272d7ffc67fb,2016yes,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-02-15,2f95d5d80a1c53a09560fbcfc3f2f23ad506fa5469c5aba69ed25cb4f187d0b4,lupang.no-ip.info,9000,Disabled,helper.exe,Computer Helper,N/A,N/A,N/A,29137e9efadbe9543732738cfcd381021058f4e2,helper,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-06-03,2fdbfba548c2df61c550f1ed17d590d571807371ce9468958256331619811416,runeclient.com,55714,osrsbuddy.com,heuristics.exe,Oracle Inc.,Java32,Java Heuristics,mtstocom.exe,4519e37ae84cc9bdc6611dae1fa304fa92eaf212c090cdc099e3e8a079878e18,itself,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2016-05-24,2fc611e6366b67051be772bdbcc6012c2f288673c8af4016d62ee12c5786dd9c,212.7.208.69,2222,Disabled,client.exe,Client Monitor,Client,Monitor,clientmonitor.exe,97dfcec938ecab645e2669a0828b04010f77c366fee5a2488a64cac9d1cbb88f,HOME,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2016-02-09,2fe7678cfde679f7c645a79d9c04c5a138e54c27d39294705fe179e2233e145e,essence.no-ip.biz,22,Disabled,repair.exe,AVG Anti-Virus,N/A,N/A,N/A,b69caff809b614505422ebfbb525817fc72cb978,SunRAT,No,Yes,Yes,Yes,Yes,No,No,No,No
2015-05-19,2fe766cc680fa5add77fa727096b38e49fcff1a1449bbf47261021f4ba014543,sverus.ddns.net,1400,Disabled,winlogon.exe,Winlogon,N/A,N/A,N/A,2006cc6cfaa4421910d7d81873bf16f37e8d7859,HOME,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-04-07,2feefbee974513f52de161f347ea919d7588e306a005cc833b7c9cd5f1d98600,zappy4.truedns.xyz,3334,Disabled,windows help.exe,Windows,Windows,Monitor,windows.exe,a3daecb8e9cba89f4ddc0cb37615da84ded41262dad6e0b0fd7af03416beb33e,Youtube,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
2015-10-22,2bfcc3446c5f7d75c18ccaa01b9a5e4a5eeb3cc5f2e517d771b6842ebcab9db0,JohnKappa.fishdns.com,9090,PuebloAsa.fishdns.com,Windows.exe,Windows System Manager,N/A,N/A,N/A,6815ad41736ae8771280b22a1f17dad3771b7c63,RETARD,No,Yes,Yes,Yes,Yes,No,No,No,No
